Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
1950000	-26.45838	0	-26.45838	0.117166	0.104435	0.140059	0.410217	0.0677639	0.235248	0.564438	1.27601	1.11707
1960000	-29.85321	0	-29.85321	0.184338	0.0692044	0.0595526	0.433198	0.104575	0.0396895	0.542377	2.53002	0.956422
1970000	-30.96972	0	-30.96972	0.174479	0.183025	0.222932	0.518057	0.126799	0.176057	1.11743	0.425666	1.12838
1980000	-26.91112	0	-26.91112	0.166184	0.139518	0.160691	0.221887	0.0878766	0.0753113	0.644549	3.08773	2.85381
1990000	-32.78938	0	-32.78938	0.109554	0.0712589	0.282826	0.25077	0.21475	0.0817094	1.00571	0.176308	0.649983
2000000	-35.2977	0	-35.2977	0.138581	0.113097	0.21054	0.20148	0.130216	0.049867	0.31745	0.518162	0.342341
2010000	-27.25578	0	-27.25578	0.0955791	0.141645	0.0920838	0.214313	0.123385	0.276113	0.354874	0.998789	1.39995
2020000	-26.48386	0	-26.48386	0.156887	0.138486	0.285126	0.311057	0.125781	0.154585	1.33538	1.3397	0.664525
2030000	-29.24549	0	-29.24549	0.157079	0.220532	0.13486	0.20852	0.166741	0.150557	1.60499	0.677484	5.86445
2040000	-37.48855	0	-37.48855	0.104562	0.0756705	0.175723	0.542806	0.198683	0.107489	0.738229	0.485252	1.98358
2050000	-32.28462	0	-32.28462	0.0536918	0.219572	0.172487	0.158099	0.11757	0.0608855	0.494228	0.589748	4.11496
2060000	-34.06396	0	-34.06396	0.156324	0.110228	0.17599	0.0771185	0.0631187	0.245246	0.377877	0.338892	0.741892
2070000	-31.42962	0	-31.42962	0.0798248	0.262105	0.0677687	0.210133	0.275527	0.203185	0.324213	0.956893	1.60031
2080000	-31.27942	0	-31.27942	0.231593	0.101946	0.174441	0.195272	0.397027	0.095146	0.281776	0.531364	0.592493
2090000	-28.91845	0	-28.91845	0.121969	0.201239	0.0608508	0.264589	0.240409	0.152406	0.254679	1.78693	1.24875
2100000	-34.84452	0	-34.84452	0.274905	0.149226	0.464508	0.219962	0.127984	0.0482792	0.206088	1.62025	1.51035
2110000	-27.77312	0	-27.77312	0.0837794	0.141294	0.255156	0.377475	0.201838	0.0642728	1.30335	0.493732	2.51736
2120000	-30.25485	0	-30.25485	0.220723	0.124015	0.247593	0.183281	0.0868981	0.0818454	0.350096	0.29816	3.52406
