Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
1260000	-19.3351	0	-19.3351	0.209331	0.22879	0.150597	0.241322	0.0763205	0.105347	3.08975	0.880188	1.53798
1270000	-19.49379	0	-19.49379	0.219793	0.0836415	0.256759	0.287184	0.121963	0.193934	2.22238	3.24067	1.56974
1280000	-26.63033	0	-26.63033	0.0586395	0.238324	0.0768224	0.137186	0.156243	0.0777443	0.755082	0.818547	2.13192
1290000	-18.98936	0	-18.98936	0.0591295	0.165213	0.113478	0.30814	0.195833	0.174191	0.980871	1.12995	2.76445
1300000	-20.02215	0	-20.02215	0.156505	0.139655	0.297136	0.244942	0.0695683	0.05129	2.49746	1.8221	0.23733
1310000	-24.66073	0	-24.66073	0.174885	0.0827258	0.179039	0.247536	0.429717	0.0521487	0.252439	1.22431	2.64355
1320000	-20.68974	0	-20.68974	0.0777777	0.0614341	0.264363	0.288124	0.0916071	0.116507	1.88638	0.96027	0.251042
1330000	-21.81365	0	-21.81365	0.0940365	0.0985317	0.329526	0.22829	0.214251	0.118715	1.04945	0.71326	1.27432
1340000	-23.62191	0	-23.62191	0.0871491	0.130636	0.209957	0.585584	0.0999501	0.0695605	1.0166	0.663064	0.973563
1350000	-17.30905	0	-17.30905	0.198124	0.0681003	0.171889	0.313082	0.155166	0.0429155	2.04	2.40469	1.63855
1360000	-16.29544	0	-16.29544	0.0564083	0.250427	0.086175	0.306447	0.216047	0.186955	2.8755	1.73779	1.57566
1370000	-18.16797	0	-18.16797	0.104489	0.165691	0.146487	0.185062	0.138549	0.0540102	2.53412	1.46227	2.24384
1380000	-18.88744	0	-18.88744	0.08236	0.0614849	0.247773	0.283138	0.190979	0.0712218	2.69199	0.969164	0.60473
1390000	-24.54295	0	-24.54295	0.108905	0.254018	0.117724	0.321381	0.0568188	0.143502	2.18231	1.64388	1.21502
1400000	-17.05618	0	-17.05618	0.0445783	0.178841	0.199349	0.33049	0.154592	0.124618	1.91468	0.622534	0.359953
1410000	-23.54854	0	-23.54854	0.16022	0.121122	0.175734	0.206595	0.0942938	0.0681006	0.921424	0.143766	0.913939
1420000	-17.65272	0	-17.65272	0.0712221	0.113123	0.242871	0.189016	0.170001	0.233982	1.53206	1.97018	0.867661
1430000	-20.61381	0	-20.61381	0.148585	0.431173	0.134261	0.222409	0.134057	0.0562359	1.64665	0.56174	2.43931
1440000	-23.51067	0	-23.51067	0.16358	0.26568	0.27709	0.377801	0.114219	0.0890503	0.925586	0.386983	1.1751
1450000	-20.87841	0	-20.87841	0.0832059	0.115683	0.187847	0.328864	0.120124	0.111227	3.38634	0.481297	0.353866
1460000	-21.2161	0	-21.2161	0.102993	0.0913311	0.188656	0.24192	0.220517	0.252908	1.62186	0.982447	0.412221
1470000	-17.72062	0	-17.72062	0.106182	0.0893183	0.238995	0.18523	0.17275	0.0657996	2.64936	0.436358	1.88648
1480000	-20.16159	0	-20.16159	0.230298	0.0928242	0.175942	0.191059	0.274023	0.0702183	6.85943	2.31758	0.761667
1490000	-22.79606	0	-22.79606	0.0610249	0.0919748	0.137861	0.396835	0.182659	0.0993737	1.51318	1.16022	0.127462
1500000	-22.59618	0	-22.59618	0.0920089	0.201371	0.110131	0.221503	0.0545781	0.235387	2.5359	0.777809	0.9601
1510000	-23.60542	0	-23.60542	0.106789	0.142375	0.222892	0.0834495	0.175638	0.220959	3.379	1.44888	0.294536
1520000	-22.12681	0	-22.12681	0.0846017	0.264276	0.114305	0.130354	0.0389824	0.189308	3.18608	2.90561	0.794772
1530000	-22.73607	0	-22.73607	0.0412948	0.277515	0.178479	0.1848	0.0878729	0.176309	2.4502	0.382092	1.61208
1540000	-19.03366	0	-19.03366	0.0888621	0.141274	0.264399	0.193917	0.117709	0.194688	0.534657	1.53423	1.67142
1550000	-26.02181	0	-26.02181	0.0924073	0.0579384	0.437149	0.186339	0.111986	0.201474	2.96563	1.80287	0.15187
1560000	-19.1259	0	-19.1259	0.057903	0.159698	0.136692	0.209545	0.0963875	0.21495	1.19353	0.819852	0.223254
1570000	-22.86635	0	-22.86635	0.171685	0.100766	0.166532	0.0850586	0.0478763	0.130872	4.98257	0.441618	0.561675
1580000	-20.14404	0	-20.14404	0.10388	0.155837	0.146544	0.102879	0.166823	0.206871	3.705	0.796132	3.64182
1590000	-15.66392	0	-15.66392	0.105836	0.112839	0.120755	0.222053	0.082784	0.155212	2.03369	2.45003	1.42289
1600000	-20.73998	0	-20.73998	0.253231	0.160317	0.140797	0.439391	0.0479548	0.0568634	1.79189	1.22091	2.83396
1610000	-22.54172	0	-22.54172	0.0851725	0.161291	0.465723	0.136486	0.0603836	0.182201	3.06744	1.0526	0.867117
1620000	-16.06257	0	-16.06257	0.171429	0.161686	0.207548	0.156653	0.105387	0.0849893	1.42333	0.77137	2.00902
1630000	-20.8426	0	-20.8426	0.0624195	0.190357	0.195969	0.182176	0.269926	0.0467746	4.68284	0.631488	0.635611
1640000	-19.92726	0	-19.92726	0.116636	0.211742	0.153035	0.242588	0.172025	0.174545	2.65019	1.66785	1.06906
