Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
2690000	-50.85209	0	-50.85209	0.106128	0.153201	0.280061	0.223256	0.106689	0.107278
2700000	-49.09189	0	-49.09189	0.0639305	0.307202	0.235664	0.240566	0.228202	0.0542082
2710000	-47.40779	0	-47.40779	0.179065	0.431007	0.153939	0.472684	0.105459	0.0640536
2720000	-45.57664	0	-45.57664	0.225394	0.445576	0.184437	0.275604	0.0634706	0.126087
2730000	-45.62161	0	-45.62161	0.0418126	0.412798	0.0910689	0.330138	0.105701	0.0635826
2740000	-47.21717	0	-47.21717	0.284842	0.525752	0.0811601	0.239671	0.0721491	0.155414
2750000	-47.33745	0	-47.33745	0.050469	0.531274	0.152071	0.437856	0.0707467	0.104781
2760000	-47.91814	0	-47.91814	0.108445	0.375893	0.135483	0.303765	0.0860028	0.192015
2770000	-45.73177	0	-45.73177	0.214634	0.359568	0.101886	0.269958	0.127873	0.0809125
2780000	-45.17255	0	-45.17255	0.174027	0.418572	0.0823145	0.355529	0.0432452	0.122835
2790000	-58.15119	0	-58.15119	0.180262	0.23546	0.822466	0.234379	0.22835	0.275294
2800000	-49.42524	0	-49.42524	0.135913	0.421998	0.237493	0.249133	0.0887578	0.255256
